日　　期	市　　場	產　　品	最高價	上價	中價	下價	平均價	增減%	交易量	增減%	殘貨量	
112/04/01	514 彰化市場	FA104 康乃馨 櫻紅	29 	29 	29 	29 	29.0 	  -  	24 	  -  	0 	696
112/04/01	514 彰化市場	FA401 康乃馨 深粉	26 	26 	26 	26 	26.0 	  -  	22 	  -  	0 	572
112/04/01	514 彰化市場	FA800 康乃馨 多朵(混色)	28 	28 	27 	26 	27.0 	 + 23	398 	 - 40	0 	10746
112/04/01	514 彰化市場	FA812 康乃馨 波斯桃紅	32 	32 	32 	32 	32.0 	  -  	24 	  -  	0 	768
112/04/01	514 彰化市場	FA840 康乃馨 多朵粉	34 	34 	34 	34 	34.0 	 - 26	30 	    0	0 	1020
112/04/01	514 彰化市場	FA985 繡球撫子 綠石竹	40 	40 	40 	40 	40.0 	 +233	12 	 - 73	0 	480
112/04/01	514 彰化市場	FA990 繡球撫子 紫白	56 	56 	56 	56 	56.0 	  -  	12 	  -  	0 	672
112/04/01	514 彰化市場	FB103 火鶴花 紅青心	17 	17 	16 	14 	16.0 	 + 78	291 	 - 76	0 	4656
112/04/01	514 彰化市場	FB106 火鶴花 丘比特	18 	18 	16 	12 	16.0 	 +220	186 	 + 86	0 	2976
112/04/01	514 彰化市場	FB113 火鶴花 紅鈴	17 	16 	13 	6 	12.0 	    0	"1,682 "	 +296	0 	20184
112/04/01	514 彰化市場	FB415 火鶴花 羅莎	16 	14 	9 	5 	9.0 	 + 13	591 	 + 12	0 	5319
112/04/01	514 彰化市場	FB700 火鶴花 紫色	8 	8 	7 	5 	7.0 	  -  	190 	  -  	0 	1330
112/04/01	514 彰化市場	FC000 大菊 	71 	70 	62 	44 	60.0 	 - 15	140 	 + 13	0 	8400
112/04/01	514 彰化市場	FC001 大菊 混合色	83 	82 	76 	58 	74.0 	 -  8	98 	 -  2	0 	7252
112/04/01	514 彰化市場	FC100 大菊 紅	73 	73 	73 	73 	73.0 	 +  3	18 	 - 50	0 	1314
112/04/01	514 彰化市場	FC200 大菊 金	18 	18 	18 	18 	18.0 	 - 60	60 	 - 47	0 	1080
112/04/01	514 彰化市場	FC205 大菊 金莎	58 	58 	58 	58 	58.0 	 -  5	32 	 - 33	0 	1856
112/04/01	514 彰化市場	FC206 大菊 金嗓	83 	83 	75 	72 	76.0 	 - 11	200 	 + 25	0 	15200
112/04/01	514 彰化市場	FC207 大菊 羅莎諾桔	59 	59 	56 	53 	56.0 	 - 32	44 	    0	0 	2464
112/04/01	514 彰化市場	FC208 大菊 煙火桔	102 	102 	102 	102 	102.0 	 + 42	16 	 - 64	0 	1632
112/04/01	514 彰化市場	FC300 大菊 黃	112 	112 	80 	72 	85.0 	  -  	96 	  -  	0 	8160
112/04/01	514 彰化市場	FC301 大菊 黃秀鳳	112 	112 	88 	69 	89.0 	 +  1	267 	 -  3	0 	23763
112/04/01	514 彰化市場	FC308 大菊 新種黃	117 	117 	117 	117 	117.0 	 -  6	50 	    0	0 	5850
112/04/01	514 彰化市場	FC350 大菊 黃乒乓	61 	60 	57 	46 	55.0 	 - 31	95 	 + 27	0 	5225
112/04/01	514 彰化市場	FC410 大菊 羅莎諾粉	92 	92 	92 	92 	92.0 	 - 14	36 	 +100	0 	3312
112/04/01	514 彰化市場	FC411 大菊 羅莎諾粉綠	71 	71 	71 	71 	71.0 	 - 24	16 	 - 50	0 	1136
112/04/01	514 彰化市場	FC500 大菊 綠	62 	62 	62 	62 	62.0 	  -  	50 	  -  	0 	3100
112/04/01	514 彰化市場	FC502 大菊 安娜深綠	77 	77 	77 	77 	77.0 	 - 14	20 	    0	0 	1540
112/04/01	514 彰化市場	FC600 大菊 白	80 	80 	80 	77 	79.0 	 - 11	80 	 +300	0 	6320
112/04/01	514 彰化市場	FC609 大菊 白東洋	29 	24 	19 	15 	19.0 	 - 30	"1,603 "	 - 30	311 	30457
112/04/01	514 彰化市場	FC800 大菊 染色大菊	81 	81 	62 	51 	63.0 	 - 20	258 	 + 65	0 	16254
112/04/01	514 彰化市場	FC801 染大菊 國王	99 	99 	97 	79 	94.0 	 - 15	160 	 + 16	0 	15040
112/04/01	514 彰化市場	FC802 染大菊 芭迪卡	110 	110 	105 	89 	103.0 	 + 14	212 	 - 40	0 	21836
112/04/01	514 彰化市場	FC805 染大菊 白東洋	61 	61 	59 	41 	56.0 	 + 19	566 	 -  1	0 	31696
112/04/01	514 彰化市場	FD000 小菊 	72 	72 	68 	44 	64.0 	  -  	169 	  -  	0 	10816
112/04/01	514 彰化市場	FD001 小菊 混合色	40 	40 	33 	27 	33.0 	 +  3	372 	 -  2	60 	12276
112/04/01	514 彰化市場	FD100 小菊 紅	53 	53 	53 	53 	53.0 	 - 10	81 	 - 54	0 	4293
112/04/01	514 彰化市場	FD112 小菊 紅雲南菊	82 	82 	82 	82 	82.0 	  -  	40 	  -  	0 	3280
112/04/01	514 彰化市場	FD113 小菊 日本小紅	72 	72 	72 	72 	72.0 	 + 13	30 	 + 76	30 	2160
112/04/01	514 彰化市場	FD124 小菊 龍鳳紫	85 	80 	60 	32 	58.0 	 -  2	310 	 - 13	0 	17980
112/04/01	514 彰化市場	FD125 小菊 大一點紅	67 	67 	64 	40 	60.0 	 + 18	205 	 -  2	0 	12300
112/04/01	514 彰化市場	FD128 小菊 老虎紅	42 	39 	32 	17 	30.0 	 - 33	244 	 - 13	56 	7320
112/04/01	514 彰化市場	FD136 小菊 法國小紅	75 	73 	56 	19 	52.0 	 +  4	690 	 - 31	0 	35880
112/04/01	514 彰化市場	FD137 小菊 小老虎紅	70 	70 	70 	70 	70.0 	 + 30	52 	    0	0 	3640
112/04/01	514 彰化市場	FD200 小菊 金	77 	75 	53 	29 	53.0 	 +  2	889 	 +  3	0 	47117
112/04/01	514 彰化市場	FD300 小菊 黃	83 	80 	54 	26 	54.0 	 - 13	594 	 + 37	0 	32076
112/04/01	514 彰化市場	FD304 小菊 聖誕球	61 	61 	61 	29 	54.0 	 - 14	119 	 + 59	0 	6426
112/04/01	514 彰化市場	FD308 小菊 黃丁字菊	62 	62 	51 	17 	46.0 	  -  	80 	  -  	0 	3680
112/04/01	514 彰化市場	FD326 小菊 蒙那麗莎陽光黃	15 	15 	15 	15 	15.0 	    0	25 	    0	0 	375
112/04/01	514 彰化市場	FD350 小菊 黃風車	68 	64 	38 	21 	39.0 	 -  3	895 	 - 22	0 	34905
112/04/01	514 彰化市場	FD400 小菊 粉	69 	58 	44 	27 	43.0 	 + 54	370 	 +140	0 	15910
112/04/01	514 彰化市場	FD404 小菊 花花世界	15 	15 	15 	15 	15.0 	 - 44	50 	 - 41	60 	750
112/04/01	514 彰化市場	FD437 雲南菊 雙色粉	34 	34 	30 	24 	30.0 	 - 39	70 	 - 42	0 	2100
112/04/01	514 彰化市場	FD453 小菊 棒棒糖-粉	77 	75 	62 	16 	56.0 	 -  3	421 	 -  3	60 	23576
112/04/01	514 彰化市場	FD457 小菊 西維亞粉	91 	88 	71 	37 	68.0 	    0	799 	 - 31	0 	54332
112/04/01	514 彰化市場	FD500 小菊 綠	79 	79 	79 	79 	79.0 	 +  7	20 	 +100	0 	1580
112/04/01	514 彰化市場	FD600 小菊 白	50 	41 	23 	15 	25.0 	 - 47	"1,121 "	 -  7	30 	28025
112/04/01	514 彰化市場	FD620 小菊 荷蘭小白	18 	18 	18 	17 	18.0 	 - 18	100 	 - 41	0 	1800
112/04/01	514 彰化市場	FD625 小菊 白瑪格麗特	52 	52 	52 	52 	52.0 	  -  	16 	  -  	0 	832
112/04/01	514 彰化市場	FD657 小菊 西維亞白	66 	66 	45 	41 	49.0 	 - 23	103 	 - 26	0 	5047
112/04/01	514 彰化市場	FD712 小菊 紫雲南菊	102 	102 	93 	83 	93.0 	 -  3	36 	    0	0 	3348
112/04/01	514 彰化市場	FD800 小菊 染色小菊	67 	67 	67 	67 	67.0 	  -  	25 	  -  	0 	1675
112/04/01	514 彰化市場	FD802 染小菊 白鑽石	82 	80 	64 	44 	63.0 	 + 15	592 	 - 42	0 	37296
112/04/01	514 彰化市場	FE001 非洲菊 混合色	33 	33 	31 	23 	29.0 	 + 12	"1,170 "	 -  5	0 	33930
112/04/01	514 彰化市場	FE110 非洲菊 卡布	28 	28 	28 	28 	28.0 	  -  	30 	  -  	0 	840
112/04/01	514 彰化市場	FE111 非洲菊 上海紅	32 	32 	29 	24 	29.0 	 +  7	540 	 + 38	0 	15660
112/04/01	514 彰化市場	FE201 非洲菊 太陽神	31 	31 	29 	22 	28.0 	 -  7	90 	 - 18	0 	2520
112/04/01	514 彰化市場	FE205 非洲菊 哈利熊	30 	30 	25 	20 	25.0 	 +  4	240 	 -  9	0 	6000
112/04/01	514 彰化市場	FE302 非洲菊 金爵	25 	25 	22 	15 	21.0 	 - 19	270 	 + 50	0 	5670
112/04/01	514 彰化市場	FE400 非洲菊 粉	27 	27 	27 	27 	27.0 	 -  7	30 	    0	0 	810
112/04/01	514 彰化市場	FE401 非洲菊 伊斯瑪拉	23 	23 	22 	21 	22.0 	 -  4	60 	    0	0 	1320
112/04/01	514 彰化市場	FE415 非洲菊 粉美麗	28 	28 	28 	28 	28.0 	 +  8	20 	    0	0 	560
112/04/01	514 彰化市場	FE416 非洲菊 熱情粉	29 	25 	19 	16 	20.0 	 -  5	630 	 - 46	0 	12600
112/04/01	514 彰化市場	FE600 非洲菊 白	45 	45 	45 	45 	45.0 	 + 32	25 	 - 55	0 	1125
112/04/01	514 彰化市場	FE605 非洲菊 冰山	16 	16 	16 	16 	16.0 	 - 47	30 	 - 80	0 	480
112/04/01	514 彰化市場	FE700 非洲菊 紫	15 	15 	15 	15 	15.0 	 -  6	30 	 - 88	0 	450
112/04/01	514 彰化市場	FE704 非洲菊 女王	23 	23 	23 	23 	23.0 	 +  5	60 	    0	0 	1380
112/04/01	514 彰化市場	FE900 非洲菊 迷你混色	28 	28 	28 	28 	28.0 	 + 17	34 	 - 69	0 	952
112/04/01	514 彰化市場	FG100 劍蘭 紅	90 	90 	83 	80 	83.0 	 + 14	232 	 + 56	0 	19256
112/04/01	514 彰化市場	FG105 劍蘭 ２３５號	63 	63 	63 	63 	63.0 	 + 43	20 	 - 76	0 	1260
112/04/01	514 彰化市場	FG107 劍蘭 黑骨	84 	83 	63 	51 	65.0 	 + 48	299 	 - 29	0 	19435
112/04/01	514 彰化市場	FG113 劍蘭 新種紅	88 	84 	75 	68 	76.0 	 + 69	362 	 - 45	0 	27512
112/04/01	514 彰化市場	FG600 劍蘭 白	64 	64 	64 	64 	64.0 	 + 19	16 	    0	0 	1024
112/04/01	514 彰化市場	FH000 其它花卉 	68 	68 	68 	68 	68.0 	 -  3	18 	 - 33	0 	1224
112/04/01	514 彰化市場	FH005 金鎚花 	16 	16 	16 	16 	16.0 	 +  7	42 	 - 49	0 	672
112/04/01	514 彰化市場	FH006 黃梔花 	73 	71 	60 	39 	58.0 	 -  2	923 	 - 14	0 	53534
112/04/01	514 彰化市場	FH101 天堂鳥 	39 	39 	31 	26 	31.0 	 + 11	227 	 + 16	0 	7037
112/04/01	514 彰化市場	FH112 小天堂鳥 桔帶紅	70 	70 	58 	43 	57.0 	 + 16	130 	    0	0 	7410
112/04/01	514 彰化市場	FH114 小天堂鳥 粉紅	54 	54 	54 	54 	54.0 	  -  	22 	  -  	0 	1188
112/04/01	514 彰化市場	FH158 紅薑花 	82 	74 	54 	23 	52.0 	 - 17	265 	 +121	0 	13780
112/04/01	514 彰化市場	FH240 麥桿菊 	67 	67 	67 	67 	67.0 	 - 16	16 	 +  7	0 	1072
112/04/01	514 彰化市場	FH251 秀線 	64 	58 	36 	26 	38.0 	 - 14	445 	 - 21	0 	16910
112/04/01	514 彰化市場	FH293 向日葵 單瓣	60 	46 	34 	17 	33.0 	 -  8	427 	 +  9	29 	14091
112/04/01	514 彰化市場	FH331 雞冠花 清紅	66 	66 	55 	16 	49.0 	  -  	51 	  -  	0 	2499
112/04/01	514 彰化市場	FH341 火焰雞冠花 紅	88 	85 	53 	15 	52.0 	 - 26	275 	 +129	0 	14300
112/04/01	514 彰化市場	FH357 觀花鳳梨花 	12 	12 	9 	7 	9.0 	 + 13	220 	 + 22	0 	1980
112/04/01	514 彰化市場	FH364 金魚草 粉色	34 	34 	29 	24 	29.0 	 + 21	61 	 - 28	0 	1769
112/04/01	514 彰化市場	FH366 金魚草 白色	30 	30 	29 	28 	29.0 	 + 26	57 	 -  2	0 	1653
112/04/01	514 彰化市場	FH381 麒麟草 	51 	50 	42 	31 	41.0 	 + 41	744 	 - 45	0 	30504
112/04/01	514 彰化市場	FH521 迥香 黃	16 	16 	16 	16 	16.0 	  -  	23 	  -  	0 	368
112/04/01	514 彰化市場	FH661 伯利恆之星 	28 	28 	26 	24 	26.0 	 + 13	130 	 - 12	0 	3380
112/04/01	514 彰化市場	FH670 茉莉花 	26 	26 	25 	23 	25.0 	 +  4	120 	    0	0 	3000
112/04/01	514 彰化市場	FH710 深山櫻 	17 	17 	17 	17 	17.0 	 - 15	30 	 - 50	0 	510
112/04/01	514 彰化市場	FM141 重瓣百合 伊莎貝拉單朵	123 	123 	123 	123 	123.0 	 +  2	24 	 + 20	0 	2952
112/04/01	514 彰化市場	FM142 重瓣百合 伊莎貝拉雙朵	81 	81 	81 	81 	81.0 	 - 28	14 	    0	0 	1134
112/04/01	514 彰化市場	FM213 重瓣百合 艾蓮娜三朵	202 	202 	202 	202 	202.0 	  -  	10 	  -  	0 	2020
112/04/01	514 彰化市場	FM219 重瓣百合 艾蓮娜多朵	212 	212 	212 	212 	212.0 	    0	18 	 - 25	0 	3816
112/04/01	514 彰化市場	FM282 重瓣百合 莎曼莎雙朵	123 	123 	123 	123 	123.0 	 - 11	12 	 - 48	0 	1476
112/04/01	514 彰化市場	FM283 重瓣百合 莎曼莎三朵	172 	172 	154 	135 	154.0 	  -  	20 	  -  	0 	3080
112/04/01	514 彰化市場	FM289 重瓣百合 莎曼莎多朵	192 	192 	192 	192 	192.0 	 -  1	16 	 +100	0 	3072
112/04/01	514 彰化市場	FO003 腎藥蘭 曼谷火焰	16 	16 	15 	13 	15.0 	 + 15	540 	 +440	0 	8100
112/04/01	514 彰化市場	FO007 千代蘭 	10 	10 	9 	8 	9.0 	 + 13	250 	 - 44	0 	2250
112/04/01	514 彰化市場	FO009 萬代蘭 	10 	10 	10 	10 	10.0 	 - 33	70 	 + 40	0 	700
112/04/01	514 彰化市場	FO024 萬代蘭 巨輪粉	11 	11 	9 	8 	9.0 	  -  	60 	  -  	0 	540
112/04/01	514 彰化市場	FO335 檸檬綠文心蘭 	133 	133 	101 	62 	100.0 	 + 14	267 	 - 43	0 	26700
112/04/01	514 彰化市場	FR100 玫瑰 紅	152 	152 	152 	152 	152.0 	  -  	2 	  -  	0 	304
112/04/01	514 彰化市場	FR116 玫瑰 翡翠紅	137 	137 	121 	104 	121.0 	 + 59	8 	 - 83	0 	968
112/04/01	514 彰化市場	FR117 玫瑰 萬年紅	94 	84 	42 	18 	46.0 	 +  2	103 	 -  1	0 	4738
112/04/01	514 彰化市場	FR122 玫瑰 卡門	103 	103 	103 	103 	103.0 	  -  	5 	  -  	0 	515
112/04/01	514 彰化市場	FR209 玫瑰 夏布莉	188 	188 	170 	162 	172.0 	  -  	11 	  -  	0 	1892
112/04/01	514 彰化市場	FR400 玫瑰 粉	130 	130 	98 	69 	99.0 	 -  8	16 	 -  6	0 	1584
112/04/01	514 彰化市場	FR436 玫瑰 翡翠粉	115 	98 	54 	20 	56.0 	 - 33	65 	 - 14	0 	3640
112/04/01	514 彰化市場	FR439 玫瑰 翡翠香檳	148 	148 	72 	54 	83.0 	 - 19	20 	 - 64	0 	1660
112/04/01	514 彰化市場	FR607 玫瑰 翡翠白	140 	136 	74 	26 	77.0 	 + 10	67 	 - 26	0 	5159
112/04/01	514 彰化市場	FR711 玫瑰 天堂紫	189 	189 	153 	119 	153.0 	 +  3	14 	 + 17	0 	2142
112/04/01	514 彰化市場	FR712 玫瑰 拿鐵	180 	180 	180 	180 	180.0 	 + 25	4 	 - 50	0 	720
112/04/01	514 彰化市場	FR816 玫瑰 愛麗絲	122 	122 	102 	82 	102.0 	 +  3	10 	 - 29	0 	1020
112/04/01	514 彰化市場	FR817 玫瑰 布魯士	133 	133 	133 	133 	133.0 	 +  2	8 	    0	0 	1064
112/04/01	514 彰化市場	FS019 香水百合 紅多朵	237 	237 	237 	237 	237.0 	 + 12	16 	 - 33	0 	3792
112/04/01	514 彰化市場	FS030 香水百合 黃	65 	65 	65 	65 	65.0 	  -  	13 	  -  	0 	845
112/04/01	514 彰化市場	FS039 香水百合 黃多朵	175 	175 	172 	151 	169.0 	 -  1	61 	 +126	0 	10309
112/04/01	514 彰化市場	FS060 香水百合 白	123 	123 	123 	123 	123.0 	  -  	13 	  -  	0 	1599
112/04/01	514 彰化市場	FS063 香水百合 白三朵	156 	156 	155 	153 	155.0 	 + 26	48 	 -  4	0 	7440
112/04/01	514 彰化市場	FS069 香水百合 白多朵	174 	174 	163 	162 	165.0 	 -  4	44 	 +175	0 	7260
112/04/01	514 彰化市場	FS472 水晶香水 雙朵	211 	211 	211 	211 	211.0 	 + 14	12 	 - 14	0 	2532
112/04/01	514 彰化市場	FS473 水晶香水 三朵	290 	290 	272 	260 	273.0 	  -  	30 	  -  	0 	8190
112/04/01	514 彰化市場	FS479 水晶香水 多朵	194 	194 	194 	194 	194.0 	 - 29	8 	 - 20	0 	1552
112/04/01	514 彰化市場	FS599 薇薇安娜 多朵	202 	202 	202 	202 	202.0 	 + 34	36 	 +227	0 	7272
112/04/01	514 彰化市場	FS601 OT康卡多 單朵	67 	67 	67 	67 	67.0 	  -  	9 	  -  	0 	603
112/04/01	514 彰化市場	FS602 OT康卡多 雙朵	73 	73 	71 	69 	71.0 	 - 37	29 	 - 51	0 	2059
112/04/01	514 彰化市場	FS603 OT康卡多 三朵	151 	148 	111 	92 	114.0 	 - 24	119 	 + 78	0 	13566
112/04/01	514 彰化市場	FS609 OT康卡多 多朵	162 	146 	97 	83 	104.0 	 - 25	214 	 + 34	0 	22256
112/04/01	514 彰化市場	FS630 OT曼尼薩 	60 	60 	60 	60 	60.0 	 - 54	16 	 - 67	0 	960
112/04/01	514 彰化市場	FS631 OT曼尼薩 單朵	148 	145 	118 	46 	109.0 	 +  5	152 	 + 14	0 	16568
112/04/01	514 彰化市場	FS632 OT曼尼薩 雙朵	143 	136 	104 	70 	103.0 	 - 18	637 	 + 94	0 	65611
112/04/01	514 彰化市場	FS633 OT曼尼薩 三朵	211 	200 	167 	119 	164.0 	 -  1	404 	 +  4	0 	66256
112/04/01	514 彰化市場	FS639 OT曼尼薩 多朵	265 	263 	196 	128 	196.0 	 - 11	119 	 + 31	0 	23324
112/04/01	514 彰化市場	FS772 OT百合 節奏舞者二朵	140 	140 	114 	87 	114.0 	 +  4	30 	 + 25	0 	3420
112/04/01	514 彰化市場	FS773 OT百合 節奏舞者三朵	202 	201 	187 	179 	188.0 	 + 18	54 	 -  7	0 	10152
112/04/01	514 彰化市場	FS779 OT百合 節奏舞者多朵	235 	224 	200 	182 	201.0 	 + 14	490 	 + 15	0 	98490
112/04/01	514 彰化市場	FS789 OT百合 貝維爾多朵	161 	161 	154 	152 	155.0 	 -  7	30 	 + 50	0 	4650
112/04/01	514 彰化市場	FS853 OT瑪丹娜 三朵	173 	173 	159 	117 	153.0 	 -  9	34 	 +209	0 	5202
112/04/01	514 彰化市場	FS859 OT瑪丹娜 多朵	199 	199 	187 	159 	184.0 	 +  3	162 	 + 86	0 	29808
112/04/01	514 彰化市場	FS870 OT大連 	221 	221 	163 	141 	170.0 	  -  	32 	  -  	0 	5440
112/04/01	514 彰化市場	FS871 OT大連 單朵	157 	146 	139 	115 	135.0 	 +  6	177 	 + 86	0 	23895
112/04/01	514 彰化市場	FS872 OT大連 雙朵	145 	142 	112 	91 	114.0 	 -  7	317 	 + 25	0 	36138
112/04/01	514 彰化市場	FS873 OT大連 三朵	215 	209 	170 	117 	167.0 	 -  1	134 	 - 18	0 	22378
112/04/01	514 彰化市場	FS879 OT大連 多朵	243 	231 	185 	169 	191.0 	    0	438 	 + 83	0 	83658
112/04/01	514 彰化市場	FS890 OT帕雷諾 	140 	140 	140 	140 	140.0 	  -  	20 	  -  	0 	2800
112/04/01	514 彰化市場	FS891 OT帕雷諾 單朵	142 	142 	141 	140 	141.0 	 +  2	33 	 - 59	0 	4653
112/04/01	514 彰化市場	FS892 OT帕雷諾 雙朵	152 	152 	133 	112 	133.0 	 +  1	47 	 -  6	0 	6251
112/04/01	514 彰化市場	FS963 OT試金石 三朵	214 	214 	214 	214 	214.0 	  -  	10 	  -  	0 	2140
112/04/01	514 彰化市場	FS969 OT試金石 多朵	234 	233 	183 	133 	183.0 	 -  9	122 	 + 61	0 	22326
112/04/01	514 彰化市場	FS970 OT紅福特 	133 	133 	133 	133 	133.0 	  -  	15 	  -  	0 	1995
112/04/01	514 彰化市場	FS971 OT紅福特 單朵	141 	141 	141 	141 	141.0 	 + 96	18 	 - 66	0 	2538
112/04/01	514 彰化市場	FS972 OT紅福特 雙朵	148 	139 	112 	107 	116.0 	 + 16	196 	 +277	0 	22736
112/04/01	514 彰化市場	FS973 OT紅福特 三朵	201 	181 	138 	102 	139.0 	 -  2	313 	 + 48	0 	43507
112/04/01	514 彰化市場	FS979 OT紅福特 多朵	249 	244 	198 	144 	196.0 	 + 15	777 	 + 16	0 	152292
112/04/01	514 彰化市場	FT061 鐵砲百合 白單朵	61 	61 	61 	61 	61.0 	 - 66	40 	 +186	0 	2440
112/04/01	514 彰化市場	FT062 鐵砲百合 白雙朵	100 	100 	97 	92 	96.0 	  -  	36 	  -  	0 	3456
112/04/01	514 彰化市場	FT063 鐵砲百合 白三朵	123 	123 	123 	123 	123.0 	  -  	52 	  -  	0 	6396
112/04/01	514 彰化市場	FU000 洋桔梗 	80 	80 	62 	53 	64.0 	 - 59	24 	 +167	0 	1536
112/04/01	514 彰化市場	FU402 洋桔梗 雙瓣(混色)	158 	146 	78 	35 	83.0 	 +419	65 	 +400	0 	5395
112/04/01	514 彰化市場	FU412 洋桔梗 雙瓣紅	108 	108 	108 	108 	108.0 	  -  	8 	  -  	0 	864
112/04/01	514 彰化市場	FU421 洋桔梗 小夏橘	92 	92 	76 	70 	78.0 	 + 22	33 	 - 13	0 	2574
112/04/01	514 彰化市場	FU432 洋桔梗 雙瓣黃	61 	61 	61 	61 	61.0 	 + 79	9 	 - 81	0 	549
112/04/01	514 彰化市場	FU435 洋桔梗 順風黃	71 	71 	71 	71 	71.0 	  -  	9 	  -  	0 	639
112/04/01	514 彰化市場	FU441 洋桔梗 順風粉	115 	115 	76 	43 	77.0 	 -  6	17 	 - 35	0 	1309
112/04/01	514 彰化市場	FU442 洋桔梗 雙瓣粉	159 	121 	72 	36 	74.0 	 -  3	156 	 + 36	0 	11544
112/04/01	514 彰化市場	FU445 洋桔梗 可羅淺粉	111 	111 	111 	111 	111.0 	  -  	8 	  -  	0 	888
112/04/01	514 彰化市場	FU449 洋桔梗 艾瑞娜彩粉	201 	201 	188 	183 	190.0 	  -  	28 	  -  	0 	5320
112/04/01	514 彰化市場	FU457 洋桔梗 順風綠	130 	130 	121 	101 	119.0 	 +  3	23 	 - 52	0 	2737
112/04/01	514 彰化市場	FU459 洋桔梗 琥珀綠	89 	89 	74 	62 	74.0 	  -  	22 	  -  	0 	1628
112/04/01	514 彰化市場	FU462 洋桔梗 雙瓣白	125 	119 	85 	42 	83.0 	 - 41	134 	 +179	0 	11122
112/04/01	514 彰化市場	FU465 洋桔梗 名人華麗白	153 	109 	60 	53 	68.0 	 - 42	62 	 +226	0 	4216
112/04/01	514 彰化市場	FU472 洋桔梗 重瓣紫	141 	106 	65 	43 	68.0 	 - 29	70 	 + 63	0 	4760
112/04/01	514 彰化市場	FU478 洋桔梗 羅西娜紫	122 	122 	122 	122 	122.0 	  -  	7 	  -  	0 	854
112/04/01	514 彰化市場	FU480 洋桔梗 順風紫	62 	62 	46 	33 	47.0 	 - 24	38 	    0	0 	1786
112/04/01	514 彰化市場	FU572 洋桔梗 雙瓣白紫邊	181 	181 	155 	143 	157.0 	  -  	26 	  -  	0 	4082
112/04/01	514 彰化市場	FU641 洋桔梗 女王３彩粉	202 	202 	166 	118 	164.0 	 -  3	44 	 - 49	0 	7216
112/04/01	514 彰化市場	FW100 星辰花 混色	29 	29 	29 	29 	29.0 	 -  3	18 	 - 92	0 	522
112/04/01	514 彰化市場	FW130 星辰花 黃	24 	24 	24 	24 	24.0 	  -  	36 	  -  	0 	864
112/04/01	514 彰化市場	FW140 星辰花 粉	41 	41 	39 	36 	39.0 	  -  	40 	  -  	0 	1560
112/04/01	514 彰化市場	FW141 星辰花 大湖魅力	28 	28 	28 	28 	28.0 	 - 35	20 	    0	0 	560
112/04/01	514 彰化市場	FW170 星辰花 紫	42 	42 	35 	25 	34.0 	 -  8	104 	 + 89	0 	3536
112/04/01	514 彰化市場	FW240 粉孔雀 	51 	51 	46 	41 	46.0 	 + 12	183 	 +266	0 	8418
112/04/01	514 彰化市場	FW471 卡斯比亞 帶葉	72 	72 	72 	72 	72.0 	 + 13	50 	 - 33	0 	3600
112/04/01	514 彰化市場	FW472 卡斯比亞 無葉	59 	59 	52 	45 	52.0 	 - 12	95 	 + 44	0 	4940
112/04/01	514 彰化市場	FW560 滿天星 白	74 	74 	56 	53 	59.0 	 - 14	90 	 +100	0 	5310
112/04/01	514 彰化市場	FW562 滿天星 雪子	51 	51 	51 	51 	51.0 	  -  	20 	  -  	0 	1020
112/04/01	514 彰化市場	FW568 滿天星 銀河	56 	56 	56 	56 	56.0 	  -  	40 	  -  	0 	2240
112/04/01	514 彰化市場	FY000 切葉類 	24 	24 	24 	24 	24.0 	  -  	150 	  -  	0 	3600
112/04/01	514 彰化市場	FY004 黃椰心葉 	143 	123 	97 	74 	98.0 	 -  3	"1,242 "	 - 12	0 	121716
112/04/01	514 彰化市場	FY009 電信蘭葉 	141 	134 	93 	51 	93.0 	 -  5	611 	 - 21	0 	56823
112/04/01	514 彰化市場	FY017 八角金盤 	58 	58 	55 	54 	55.0 	 + 17	220 	 - 30	0 	12100
112/04/01	514 彰化市場	FY027 虎斑木葉 	18 	18 	18 	18 	18.0 	  -  	50 	  -  	0 	900
112/04/01	514 彰化市場	FY030 新文竹 	55 	55 	55 	55 	55.0 	  -  	30 	  -  	0 	1650
112/04/01	514 彰化市場	FY050 山蘇葉 	18 	18 	17 	15 	17.0 	 + 42	60 	    0	0 	1020
112/04/01	514 彰化市場	FY052 麻葉繡球<小手球> 	72 	72 	72 	72 	72.0 	 -  1	50 	    0	0 	3600
112/04/01	514 彰化市場	FY057 百合竹 	28 	26 	23 	17 	22.0 	    0	"1,094 "	 - 23	0 	24068
112/04/01	514 彰化市場	FY084 火龍果 	84 	84 	79 	71 	78.0 	 +  1	79 	 +163	0 	6162
112/04/01	514 彰化市場	FY086 綠春蘭葉 	11 	11 	11 	11 	11.0 	  -  	30 	  -  	0 	330
112/04/01	514 彰化市場	FY093 水燭葉 	15 	15 	11 	10 	11.0 	 -  8	587 	 - 27	0 	6457
112/04/01	514 彰化市場	FY981 高山羊齒 	45 	45 	45 	45 	45.0 	  -  	40 	  -  	0 	1800
112/04/01	514 彰化市場	FY991 青竹 	208 	208 	133 	83 	139.0 	 +140	18 	 + 50	0 	2502
112/04/01	514 彰化市場	FY993 白竹 	88 	82 	57 	39 	59.0 	    0	696 	 - 18	0 	41064
112/04/01	514 彰化市場	IO519 進口石斛蘭 深紅	165 	164 	158 	154 	158.0 	 + 10	376 	 -  6	0 	59408
112/04/02	514 彰化市場	FA800 康乃馨 多朵(混色)	31 	31 	27 	24 	27.0 	    0	614 	 + 54	0 	16578
